sale_id,sale_date,region,channel,category,product,customer_segment,units,unit_price,unit_cost
S000001,2024-01-11,North,Online,Electronics,Tablet,Enterprise,7,450.0,300.0
S000002,2024-01-04,South,Online,Accessories,Cable,Consumer,1,12.0,4.0
S000003,2024-01-14,South,Online,Peripherals,Keyboard,Enterprise,2,60.0,32.0
S000004,2024-01-14,South,Partner,Electronics,Laptop,Enterprise,2,1200.0,850.0
S000005,2024-01-19,North,Online,Electronics,Laptop,Consumer,7,1200.0,850.0
S000006,2024-01-18,West,Online,Electronics,Tablet,Enterprise,5,450.0,300.0
S000007,2024-01-04,South,Online,Audio,Headphones,Enterprise,5,90.0,48.0
S000008,2024-01-19,East,Online,Audio,Earbuds,Enterprise,4,130.0,70.0
S000009,2024-01-23,South,Retail,Electronics,Phone,Enterprise,1,800.0,560.0
S000010,2024-01-18,West,Partner,Peripherals,Keyboard,SMB,6,60.0,32.0
S000011,2024-01-12,South,Partner,Accessories,Case,Consumer,4,18.0,6.0
S000012,2024-01-03,West,Retail,Audio,Headphones,Enterprise,5,90.0,48.0
S000013,2024-01-15,North,Partner,Accessories,Case,SMB,2,18.0,6.0
S000014,2024-01-06,West,Retail,Accessories,Cable,Consumer,3,12.0,4.0
S000015,2024-01-31,East,Retail,Audio,Earbuds,Enterprise,2,130.0,70.0
S000016,2024-01-12,West,Online,Audio,Headphones,Consumer,8,90.0,48.0
S000017,2024-01-31,North,Online,Accessories,Case,Enterprise,8,18.0,6.0
S000018,2024-01-23,East,Partner,Accessories,Case,SMB,8,18.0,6.0
S000019,2024-01-29,North,Retail,Audio,Earbuds,SMB,6,130.0,70.0
S000020,2024-01-06,West,Online,Audio,Headphones,Consumer,2,90.0,48.0
S000021,2024-01-25,South,Retail,Accessories,Case,SMB,3,18.0,6.0
S000022,2024-01-30,South,Retail,Peripherals,Mouse,SMB,2,30.0,14.0
S000023,2024-01-18,West,Partner,Accessories,Case,SMB,3,18.0,6.0
S000024,2024-01-23,West,Online,Peripherals,Keyboard,Consumer,6,60.0,32.0
S000025,2024-01-03,South,Partner,Electronics,Tablet,Consumer,3,450.0,300.0
S000026,2024-01-01,East,Retail,Peripherals,Mouse,Consumer,3,30.0,14.0
S000027,2024-01-05,East,Online,Peripherals,Keyboard,Enterprise,6,60.0,32.0
S000028,2024-01-28,West,Partner,Peripherals,Monitor,Enterprise,1,220.0,150.0
S000029,2024-01-13,West,Online,Peripherals,Keyboard,SMB,7,60.0,32.0
S000030,2024-01-21,South,Online,Peripherals,Keyboard,Consumer,1,60.0,32.0
S000031,2024-01-15,East,Partner,Electronics,Tablet,Consumer,2,450.0,300.0
S000032,2024-01-04,North,Retail,Electronics,Laptop,Enterprise,3,1200.0,850.0
S000033,2024-01-01,West,Online,Electronics,Phone,Enterprise,4,800.0,560.0
S000034,2024-01-09,West,Online,Accessories,Cable,Consumer,6,12.0,4.0
S000035,2024-01-28,West,Retail,Peripherals,Mouse,SMB,8,30.0,14.0
S000036,2024-01-03,East,Partner,Electronics,Tablet,SMB,2,450.0,300.0
S000037,2024-01-16,North,Online,Audio,Speaker,Enterprise,3,75.0,40.0
S000038,2024-01-12,East,Partner,Electronics,Tablet,Consumer,1,450.0,300.0
S000039,2024-01-23,South,Retail,Accessories,Case,Consumer,6,18.0,6.0
S000040,2024-01-18,South,Partner,Peripherals,Monitor,Consumer,6,220.0,150.0
S000041,2024-01-26,South,Online,Accessories,Charger,Enterprise,7,25.0,9.0
S000042,2024-01-16,North,Retail,Accessories,Cable,SMB,1,12.0,4.0
S000043,2024-01-09,West,Partner,Accessories,Charger,SMB,6,25.0,9.0
S000044,2024-01-31,South,Online,Accessories,Cable,Consumer,2,12.0,4.0
S000045,2024-01-16,South,Retail,Accessories,Charger,Enterprise,6,25.0,9.0
S000046,2024-01-29,West,Partner,Audio,Headphones,SMB,1,90.0,48.0
S000047,2024-01-26,North,Retail,Audio,Earbuds,Enterprise,2,130.0,70.0
S000048,2024-01-25,South,Retail,Accessories,Charger,Enterprise,8,25.0,9.0
S000049,2024-01-11,West,Retail,Electronics,Phone,Enterprise,7,800.0,560.0
S000050,2024-01-31,South,Online,Electronics,Phone,Consumer,3,800.0,560.0
S000051,2024-01-05,South,Partner,Audio,Headphones,Enterprise,8,90.0,48.0
S000052,2024-01-16,South,Partner,Audio,Earbuds,Enterprise,6,130.0,70.0
S000053,2024-01-05,North,Partner,Electronics,Laptop,Enterprise,1,1200.0,850.0
S000054,2024-01-30,South,Online,Electronics,Tablet,Consumer,7,450.0,300.0
S000055,2024-01-09,South,Partner,Accessories,Charger,SMB,5,25.0,9.0
S000056,2024-01-09,South,Online,Peripherals,Monitor,Enterprise,7,220.0,150.0
S000057,2024-01-12,South,Partner,Peripherals,Mouse,Consumer,7,30.0,14.0
S000058,2024-01-17,West,Online,Peripherals,Monitor,Enterprise,1,220.0,150.0
S000059,2024-01-01,South,Retail,Electronics,Tablet,Enterprise,3,450.0,300.0
S000060,2024-01-24,East,Partner,Electronics,Phone,Enterprise,1,800.0,560.0
S000061,2024-01-17,North,Partner,Peripherals,Monitor,Consumer,8,220.0,150.0
S000062,2024-01-08,North,Online,Accessories,Charger,Enterprise,5,25.0,9.0
S000063,2024-01-15,North,Retail,Peripherals,Monitor,SMB,1,220.0,150.0
S000064,2024-01-20,East,Retail,Peripherals,Monitor,Enterprise,4,220.0,150.0
S000065,2024-01-18,East,Partner,Peripherals,Mouse,Consumer,4,30.0,14.0
S000066,2024-01-27,West,Online,Peripherals,Mouse,SMB,3,30.0,14.0
S000067,2024-01-15,South,Retail,Accessories,Cable,Consumer,2,12.0,4.0
S000068,2024-01-07,North,Online,Audio,Earbuds,Enterprise,5,130.0,70.0
S000069,2024-01-21,South,Retail,Audio,Earbuds,Consumer,6,130.0,70.0
S000070,2024-01-31,North,Retail,Peripherals,Mouse,SMB,4,30.0,14.0
S000071,2024-02-06,South,Partner,Audio,Earbuds,SMB,4,130.0,70.0
S000072,2024-02-17,West,Online,Peripherals,Keyboard,SMB,6,60.0,32.0
S000073,2024-02-11,North,Retail,Electronics,Phone,Enterprise,6,800.0,560.0
